Student,Currently in,Recommended Course,num_ops_1_1,num_ops_2_1,num_ops_3_1,num_ops_4_1,alg_exp_1_1,alg_exp_2_1,alg_exp_3_1,alg_exp_4_1,expn_1_1,expn_2_2,num_ops_5_1,linear_1_2,alg_exp_5_2,geom_1_2,linear_3_2,geom_2_1,geom_3_2,func_1_2,quad_1_2,quad_2_2,quad_3_3,linear_4_3,func_2_2,func_3_2,func_4_3,func_5_3,quad_4_3,func_6_3,expn_3_1,expn_4_1,expn_5_2,expn_6_2,expn_7_3,expn_8_2,expn_9_3,quad_5_3
Student 31,Math HL,Math HL,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.5,1,1,1,1,0,0.5,0,0.5,1,1,1,0,0,1,1,1,0,1,1,0,0
Student 32,Math HL,Math SL,1,1,1,0,1,1,1,0,0.5,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Student 33,Math SL,Math SL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
Student 34,Math HL,Math Studies,1,1,1,1,1,1,0,1,1,1,0.5,1,1,0,1,1,1,1,0,1,0.5,0,0.5,1,1,0.5,1,0,1,1,1,1,1,1,0,1
Student 35,Math HL,Math SL,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.5,0,1,0,1,0,0,0.5,1,1,1,1,1,1,1,1,1,0.5,1,0,0.5
Student 36,Math SL,Math Studies,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.5,0,1,0,1,0.5,0,1,0,0,1,1,0.5,1,1,1,0.5,1,0,0,0
Student 37,Math SL,Math Studies,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Student 38,Math SL,Math Studies,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0
Student 39,Math SL,Math Studies,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Student 40,Math HL,Math SL,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,1,0,1,0,0,0,0,0
Student 41,Math SL,Math SL,1,1,1,1,1,1,1,1,1,0,1,0,0.5,0,0,0,0.5,1,0,0.5,0.5,0,0.5,0,0,0,0,1,1,1,0,0,0,0,0,0
Student 42,Math SL,Math Studies,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Student 43,Math SL,Math Studies,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 44,Math SL,Math Studies,1,1,1,0.5,0,0,1,0,1,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 45,Math HL,Math Studies,1,1,1,0,1,1,1,1,1,0,1,1,0.5,1,0.5,0.5,0.5,1,1,1,0.5,0,1,1,1,0.5,1,1,1,0,1,0,0,1,0,1
Student 46,Math SL,Math SL,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0,0,1,0,1,1,1,0.5,1,1,1,0,0
Student 47,Math SL,Math SL,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,1,0,0
Student 48,Math Studies,Math studies,1,1,1,0,1,1,1,0,1,0,1,0,0.5,0.5,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Student 49,Math HL,Math HL,1,1,1,1,1,1,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Student 50,Math HL,Math HL,1,0,1,0.5,1,1,1,0,1,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,1,0,0.5,1,0,1,0.5,0,0,0,0
Student 51,Math HL,Math Studies,1,1,1,0.5,1,1,0.5,1,1,0.5,1,0,1,0,0,1,0.5,1,1,0.5,0.5,0,1,1,1,1,1,0.5,1,1,0,1,1,0.5,0,0
Student 52,Math SL,Math Studies,1,1,1,1,1,1,0.5,1,1,1,1,0,1,0,1,1,1,0.5,0,1,0,0,1,0,1,0.5,0.5,0.5,1,1,0,0,1,1,0,0
Student 53,Math HL,Math HL,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,1,0,0
Student 54,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.5,1,0.5,0.5,0,1,1,1,0.5,0.5,0.5,1,1,1,1,0,1,0.5,0
Student 55,Math HL,Math HL,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0
Student 56,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,0,1,0.5,0,0.5,1,1,1,1,0.5,1,0,1,1,1,0,0,0.5
Student 57,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0.5,0,0.5,1,1,1,1,1,1,0,1
Student 58,Math HL,Math SL,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0
Student 59,Math HL,Math Studies,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,1,0,0,0
Student 60,Math Studies,Math Studies,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0.5,0,0.5,1,1,1,1,0,1,1,0,0.5,1,1,0,0.5
Student 61,Math HL,Math SL,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,0.5,0,1
Student 62,Math HL,Math SL,1,1,1,0.5,1,1,1,1,1,0.5,1,0,1,0,1,1,1,1,1,1,0,0,0.5,1,0,1,0,0,1,1,0,1,0,1,0,0
Student 63,Math HL,Math SL,0,1,0,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,0,1,1,1,0,0
,,,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0.5,0,0,1,1,0.5,0.5,1,1,1,1,0,1,1,1,0,0
,,,1,1,1,0.5,1,1,1,1,1,0,1,0,0,0.5,0,0.5,0.5,1,0,0,0,0,1,1,0,0.5,0,1,1,1,1,0,0,0,0,0
,,,1,1,1,0.5,1,1,1,0,1,0,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0,0
,,,1,1,1,0.5,0,1,1,0.5,1,0,1,1,1,0,1,1,1,1,0,1,0.5,0.5,1,1,1,0,0,1,1,0,1,1,0,0,0,1
,,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0.5,0,1,0,0,0,0,0.5,1,0,0,1,1,1,0,0
,,,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,0.5,1,0.5,1,1,1,1,0,1,0,0.5,0.5,0,0,1,0,0,1,1,1,0,0
